Movie/Content Name,S.No.,Movie /Content (Original Language),Language,Type of Content,Availability,Col B&W,Year  30,No. of Episodes,Length,Resolution,CC Grade,Content Owner 1,Content Owner 2,Content Owner 3,Commence Date,Expiry Date,Genre   101,Director 99,Star Cast  18,Music Director  229,Lyricist  380,Singer   437,Agreement Status,Format,Audio bitrate,Audio codec,Video bitrate,Video codec,Path,-,Size_MB,Framerate_fps
Cash Karu Nii Aish Karu (2008),,,,,,,,,02:17:28,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1244 kbps,AVC,U:\MOVIE MASTER\Cash Karu Nii Aish Karu (2008)\Cash Karu Nii Aish Karu (2008).mp4,,1352.32,25.0
Chaahat - Ek Nasha (2005),,,Hindi,Movie,Yes,COL,2005.0,,,,,Eros,,,2026-04-01,2027-03-31,"Romance,Drama",Jai Prakash,"Manisha Koirala, Aryan Vaid",Anand Raj Anand,Anand Raj Anand,"Alka Yagnik, Udit Narayan, Sonu Nigam, Babul Supriyo, Sunidhi Chauhan, Shreya Ghoshal",Yes,,,,,,,,,
Chaahat Ek Nasha... (2005),,,,,,,,,02:03:26,720*576,,,,,,,,,,,,,,MPEG-4,253 kbps,AAC LC,2500 kbps,AVC,U:\MOVIE MASTER\Chaahat Ek Nasha... (2005)\Chaahat Ek Nasha... (2005).mp4,,2435.58,25.0
Chaalbaaz (2003),,,Hindi,Movie,Yes,COL,2003.0,,01:57:38,1280*720,,Ultra Cable,,,2026-04-01,2027-03-31,Action / Drama,Gautam Verma,"Mithun Chakraborthy, Rajat Bedi, Rupanjali, Deepak Shirke",Durga N/A Natraj,Vinay Bihari,"Vinod Rathod, Sunidhi Chauhan",Yes,MPEG-4,128 kbps,AAC LC,1071 kbps,AVC,U:\MOVIE MASTER\Chaalbaaz (2003)\Chaalbaaz (2003).mp4,,1012.07,25.0
Chaand Kaa Tukdaa (1994),,,Hindi,Movie,Yes,COL,1994.0,,02:32:21,1920*816,U,Shemaroo,,,2026-04-01,2027-03-31,"Action, Comedy, Drama",Saawan Kumar,,Mahesh Kishore,Sawan Kumar,"Asha Bhosle, Jolly Mukherjee, Lata Mangeshkar",Yes,MPEG-4,128 kbps,AAC LC,1434 kbps,AVC,U:\MOVIE MASTER\Chaand Kaa Tukdaa (1994)\Chaand Kaa Tukdaa (1994).mp4,,1707.75,25.0
Chaani (1977),,,,,,,,,02:15:55,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1481 kbps,AVC,U:\MOVIE MASTER\Chaani (1977)\Chaani (1977).mp4,,1569.91,25.0
Chaar Din Ki Chandni (2012),,,Hindi,Movie,Yes,COL,2012.0,,02:11:02,1280*720,,Eros,,,2026-04-01,2027-03-31,Comedy,Samir Karnik,"Tusshar Kapoor, Kulraj Randhawa, Anupam Kher, Om Puri, Mukul Dev, Johny Lever, Anita Raaj, Sushant Singh, Chandrachur Singh, Rahul Singh, Farida Jalal","Sandesh Shandilya, Rdb, Shiv Hari, Abhishek Ray","Sandesh Shandilya, Rdb, Shiv Hari, Abhishek Ray","Shaan, Sunidhi Chauhan, Parichay, Nindy Kaur, Shweta Pandit",Yes,MPEG-TS,192 kbps,AAC LC,3014 kbps,AVC,U:\MOVIE MASTER\Chaar Din Ki Chandni (2012)\Chaar Din Ki Chandni (2012).ts,,3293.78,
Chakkar Pe Chakkar (1977),,,Hindi,Movie,Yes,COL,1977.0,,01:49:24,640*480,U,Ultra Cable,,,2026-04-01,2027-03-31,"Action,Comedy,Crime",Ashok Roy,"Shashi Kapoor, Rekha, Pran, Madan Puri, Naaz, Amjad Khan, Bindu, Asrani, Raza Murad, Lalita Pawar, Bhagwan, Rajesh Behl","Anandji, Kalyanji Veerji","Anandji, Kalyanji Veerji","Asha Bhosle, Manna Dey, Kishore Kumar, Mohammed Rafi",Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Chakkar Pe Chakkar (1977)\Chakkar Pe Chakkar (1977).mp4,,1080.42,25.0
Chakra (1981),,,Hindi,Movie,Yes,COL,1981.0,,02:14:58,900*720,A,Shemaroo,,,2026-04-01,2027-03-31,"Action,Drama",Ravindra Dharmraj,"Naseruddin Shah, Smita Patil, Dilip Dhawan",Hridaynath Mangeshkar,Madhosh Bilgrami,"Bhupinder, Lata Mangeshkar, Suresh Wadkar",Yes,MPEG-PS,128 kbps,MPA1L2,4000 kbps,MPEG-2V,U:\MOVIE MASTER\Chakra (1981)\Chakra (1981).mpg,,4045.69,25.0
Chakradhaar (2012),,,Hindi,Movie,Yes,COL,2012.0,,0.0859027777777778,1920*1080,,Eros,,,2026-04-01,2027-03-31,Action,"Shakur Sir, Dharam Prakash","Abhishek Anand ,Urvashi Sharma ,Vidya Malvade, Zakir Hussain, Yashpal","Anand Raj Anand, Jatin Pandit","Anand Raj Anand, Jatin Pandit","Shaan, Mamta Sharma, Anand Raj Anand, Sukhwinder Singh",Yes,MPEG-TS,192 kbps,AAC LC,5873 kbps,AVC,U:\MOVIE MASTER\Chakradhaar (2012)\Chakradhaar (2012).ts,,5801.4,
Chakravyuh (2012),,,Hindi,Movie,Yes,COL,2012.0,,02:27:08,1280*720,,Eros,,,2026-04-01,2027-03-31,Political Thriller,Prakash Jha,"Abhay Deol, Arjun Rampal, Om Puri, Esha Gupta, Maj Bajpayee, Anjali Patil, Kabir Bedi, Murli Sharma, Chetan Pandit","Vijay Verma, Shantanu Moitra, Aadesh Shrivastava, Sandesh Shandilya, Salim  Sulaiman","Vijay Verma, Shantanu Moitra, Aadesh Shrivastava, Sandesh Shandilya, Salim Sulaiman","Kailash Kher, Rashid Khan, Sukhwinder Singh, Sunidhi Chauhan, Salim Merchant, Benny Dayal, Shadab Faridi, Shaan, Aadesh Shrivastava",Yes,MPEG-TS,192 kbps,AAC LC,3014 kbps,AVC,U:\MOVIE MASTER\Chakravyuh (2012)\Chakravyuh (2012).ts,,3669.62,
Chal Mere Bhai (2000),,,Hindi,Movie,Yes,COL,2000.0,,02:11:30,1920*1080,U/A,Shemaroo,,,2026-04-01,2027-03-31,Comedy,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Twinkle Khanna, Sonali Bendre, Shakti Kapoor, Dalip Tahil",AnandN/AMilind,"Nitin Raikwar, Sameer","Abhijeet, Alka Yagnik, Jaspinder Narula, Kumar Sanu, Poornima, Salman Khan, Sanjay Dutt, Shankar Mahadevan, Sonu Nigam, Udit Narayan, Vinod Rathod",Yes,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Chal Mere Bhai (2000)\Chal Mere Bhai (2000).mkv,,9555.93,25.0
Chala Murari Hero Banne (1977),,,Hindi,Movie,Yes,COL,1977.0,,0.0899884259259259,600*480,U,Shemaroo,,,2026-04-01,2027-03-31,"Comedy,Drama",Asrani,"Amitabh Bachchan, Asrani, Bindiya Goswami, Jagdeep, Bindu",R D Burman,Yogesh,"Kishore Kumar, Lata Mangeshkar, Asha Bhosle, Simi Garewal",Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Chala Murari Hero Banne (1977)\Chala Murari Hero Banne (1977).mp4,,1219.89,25.0
Chalaak (1973),,,Hindi,Movie,Yes,COL,1973.0,,01:54:21,640*480,U,Shemaroo,,,2026-04-01,2027-03-31,"Action,Crime,Drama","R K Bannerjee, T N Sharma","Kiran Kumar, Alka, Radha Saluja, Jairaj, Gautam, Sarin, Danny Denzongpa, ",Ganesh,Hasrat Jaipuri,"Asha Bhosle, Kishore Kumar",Yes,MPEG-4,317 kbps,AAC LC,9993 kbps,AVC,U:\MOVIE MASTER\Chalaak (1973)\Chalaak (1973).mp4,,8360.54,25.0
Chalak (2006),,,Hindi,Movie,Yes,COL,2006.0,,01:33:40,1280*720,,Ultra Cable,,,2026-04-01,2027-03-31,Suspense / Crime / Drama),Raj N. Sippy,"Vikrant Mahajan, Rinku Ghosh, Divya Diwedi.",,,,Yes,MPEG-4,126 kbps,AAC LC,592 kbps,AVC,U:\MOVIE MASTER\Chalak (2006)\Chalak (2006).mp4,,483.52,25.0
Chalbaaz (1989),,,,,,,,,02:31:37,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1724 kbps,AVC,U:\MOVIE MASTER\Chalbaaz (1989)\Chalbaaz (1989).mp4,,2016.03,25.0
Challis Chauraasi (2012),,,Hindi,Movie,Yes,COL,2012.0,,01:55:40,1920*1080,,Eros,,,2026-04-01,2027-03-31,"Comedy,Crime",Hriday Shetty,"Naseerudin Shah, Ravi Kishan, Key Key Menon, Atul Kulkarni","Lalit Pandit, Vishal Rajan","Lalit Pandit, Vishal Rajan","Sonu Nigam, Amit Kumar, Yashita, Daler Mehndi, Mamta Sharma, Amitabh Narayan, Hasan Jahangir, Vishal Rajan",Yes,MPEG-4,128 kbps,AAC LC,2199 kbps,AVC,U:\MOVIE MASTER\Challis Chauraasi (2012)\Challis Chauraasi (2012).mp4,,1930.4,25.0
Challo Driver (2012),,,Hindi,Movie,Yes,COL,2012.0,,01:35:05,1920*1080,,Eros,,,2026-04-01,2027-03-31,Comedy,Vickrant Mahajan,"Kainaz Motivala, Vickrant Mahajan, Prem Chopra, Maj Pahwa[48]","Gaurav Dayal, Sajjad Ali Chandwani","Gaurav Dayal, Sajjad Ali Chandwani","Mika Singh, Hard Kaur, Gaurav Dayal, Labh Janjua, Aditi Veena, Shaan, Raktima, Shubhankar Dutta",Yes,MPEG-TS,192 kbps,AAC LC,5873 kbps,AVC,U:\MOVIE MASTER\Challo Driver (2012)\Challo Driver (2012).ts,,4439.88,
Chalo Dilli (2011),,,Hindi,Movie,Yes,COL,2011.0,,01:55:56,1920*816,,Eros,,,2026-04-01,2027-03-31,Comedy Road Movie,Shashant Shah,"Vinay Pathak, Lara Dutta, Akshay Kumar, Yana Gupta, Brijendra Kala","Gourov Dasgupta, Anand Raj Anand, Sachin Gupta, Rohit Kulkarni, Roshan Balu","Gourov Dasgupta, Anand Raj Anand, Sachin Gupta, Rohit Kulkarni, Roshan Balu","Raja Hasan, Sukhwinder Singh, June Banerjee, Neeraj Shridhar, Kamal Heer, Natalie Di Luccio",Yes,Matroska,192 kbps,AC3,1522 kbps,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Chalo Dilli (2011)\Chalo Dilli (2011).mkv,,1417.62,24.0
Chalta Hai Yaar (2005),,,Hindi,Movie,Yes,COL,2005.0,,02:10:49,1920*1080,U/A,Shemaroo,,,2026-04-01,2027-03-31,Comedy,Mahesh Tilekar,"Raghuvir Yadav, Sanjay Narvekar, Shakti Kapoor And Others",Shankar Mahadevan,Kamlesh Bhadkamkar,"Udit Narayan, Shankar Mahadevan, Vaishali Samant",Yes,MPEG-TS,,AAC LC,,AVC,U:\MOVIE MASTER\Chalta Hai Yaar (2005)\Chalta Hai Yaar (2005).ts,,3041.07,
Chalta Purza (1977),,,Hindi,Movie,Yes,COL,1977.0,,02:19:39,1280*720,U,Shemaroo,,,2026-04-01,2027-03-31,"Action,Thriller",Bhappi Sonie,"Rajesh Khanna, Parveen Babi, Rakesh Roshan, Bindu, Ajit",R D Burman,Anand Bakshi,"Kishore Kumar, Asha Bhosle, Lata Mangeshkar",Yes,MPEG-4,128 kbps,AAC LC,2217 kbps,AVC,U:\MOVIE MASTER\Chalta Purza (1977)\Chalta Purza (1977).mp4,,2332.32,25.0
Chalti Ka Naam Gaadi (1958),,,Hindi,Movie,Yes,B&W,1958.0,,02:44:17,1920*1080,U,Shemaroo,,,2026-04-01,2027-03-31,Comedy,Satyen Bose,"Kishore Kumar, Madhubala, Ashok Kumar, Anoop Kumar, Veena, K. N. Singh, Cuckoo, Helen",S.D.Burman ,Majrooh Sultanpuri,"Asha Bhosle, Kishore Kumar, Manna Dey, Sudha Malhotra",Yes,MPEG-4,126 kbps,AAC LC,2149 kbps,AVC,U:\MOVIE MASTER\Chalti Ka Naam Gaadi (1958)\Chalti Ka Naam Gaadi (1958).MP4,,2677.14,25.0
Champakali (1957),,,Hindi,Movie,Yes,COL,1957.0,,02:15:26,1280*720,U,Ultra Cable,,,2026-04-01,2027-03-31,Romance,Nandlal Jaswantlal,"Bharat Bhushan, Suchitra Sen, Pran, Shubha Khote, Mubarak, Ram Avtar",Hemant Kumar ,Hemant Kumar ,"Lata Mangeshkar,Manna Dey, Lata Mangeshkar,Hemant Kumar,Mohammed Rafi",Yes,MPEG-4,128 kbps,AAC LC,1339 kbps,AVC,U:\MOVIE MASTER\Champakali (1957)\Champakali (1957).mp4,,1425.75,25.0
Champakali (2000),,,Hindi,Movie,Yes,COL,2000.0,,02:13:41,1920*1080,V/UA,Shemaroo,,,2026-04-01,2027-03-31,Action,Jitendra Chawda,"Durgesh Nandni, Rajani Chandra, Kiran Kumar, Raza Murad, Shakti Kapoor, Joginder And Others",Sawan Kumar Sawan,Zail Singh,,Yes,MPEG-4,128 kbps,AAC LC,2977 kbps,AVC,U:\MOVIE MASTER\Champakali (2000)\Champakali (2000).mp4,,2972.28,25.0
Champion (2000),,,Hindi,Movie,Yes,COL,2000.0,,02:22:59,1920*1080,V/U,Shemaroo,,,2026-04-01,2027-03-31,"Action, Drama",Padam Kumar,"Sunny Deol, Manisha Koirala, Rahul Dev, Master Abhishek Sharma",Anu Malik,"Anand Raj Anand, Javed Akhtar, Nitin Raikwar","Abhijeet, Alka Yagnik, Hema Sardesai, Jaspinder Narula, Kavita Krishnamurthy, Poornima, Prashant, Roop Kumar Rathod, Shankar Mahadevan, Sunidhi Chauhan, Udit Narayan",Yes,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Champion (2000)\Champion (2000).mkv,,10741.83,25.0
Chamunda (1999),,,Hindi,Movie,Yes,COL,1999.0,,01:18:15,640*320,U/A,Shemaroo,,,2026-04-01,2027-03-31,Horror,Kishan Shah,"Rajpremi, Satnam And Others",,,,Yes,MPEG-4,192 kbps,AAC LC,5622 kbps,AVC,U:\MOVIE MASTER\Chamunda (1999)\Chamunda (1999).mp4,,3043.98,25.0
Chand (1959),,,,,,,,,02:02:57,1280*720,,,,,,,,,,,,,,Matroska,,Opus,,V_VP9,U:\MOVIE MASTER\Chand (1959)\Chand (1959).MKV,,926.1,25.0
Chand Aur Suraj  (1965),,,,,,,,,02:17:39,408*360,,,,,,,,,,,,,,MPEG-4,96 kbps,AAC LC,335 kbps,AVC,U:\MOVIE MASTER\Chand Aur Suraj (1965)\Chand Aur Suraj  (1965).mp4,,426.35,25.0
Chand Ki Duniya (1959),,,Hindi,Movie,Yes,B&W,1959.0,,01:58:05,470*360,U,Ultra Cable,,,2026-04-01,2027-03-31,"Drama,Fantasy,Sci-Fi",Mohan Sinha,"Ram Avtar, Sohan Kapila, Nalini Chonkar, B M Vyas, Rashid",Nirmal Kumar,Nirmal Kumar,"Asha Bhosle, Mohammed Rafi, Manna Dey",Yes,MPEG-4,128 kbps,AAC LC,715 kbps,AVC,U:\MOVIE MASTER\Chand Ki Duniya (1959)\Chand Ki Duniya (1959).mp4,,714.83,25.0
Chandi Sona (1977),,,Hindi,Movie,Yes,COL,1977.0,,02:28:39,640*480,U/A,Shemaroo,,,2026-04-01,2027-03-31,"Action,Thriller",Sanjay Khan,"Sanjay Khan, Parveen Babi, Premnath, Pran, Raj Kapoor",R D Burman,Majrooh Sultanpuri,"Mukesh, Asha Bhosle, Kishore Kumar, Manna Dey",Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Chandi Sona (1977)\Chandi Sona (1977).mp4,,14508.75,25.0
Chandralekha (1948),,,Hindi,Movie,Yes,B&W,1948.0,,02:45:53,640*480,U,Ultra Cable,,,2026-04-01,2027-03-31,"Drama,Adventure,Musical",S.S. Vasan,"T. R. Rajakumari, M. K. Radha, Ranjan, S. Pillai, Tiwari, Yashodhara Katju, Sundari Bai",S.Rajeswararao,S.Rajeswararao,"Uma Devi, Moti, Geeta Dutt, Bharat Vyas",Yes,MPEG-4,126 kbps,AAC LC,1815 kbps,AVC,U:\MOVIE MASTER\Chandralekha (1948)\Chandralekha (1948).mp4,,2306.61,25.0
Chandramukhi Ka Bhool Bhulaiya Mahal (2004),,,Hindi Dubed,Movie,Yes,COL,2004.0,,02:25:02,1920*1080,,Eagle,,,2026-04-01,2027-03-31,"Psychological Horror, Comedy, Thriller",P. Vasu,"Vishnuvardhan, Soundarya, Ramesh Aravind, Prema, Dwarakish, Avinash, Pramila Joshai, Shivaram, Satyajit, Shridhar, Bhoomika Shetty, Sneha, Jaya Murali, Ramanand",Gurukiran,"V. Manohar, Kaviraj, V. Nagendra Prasad, Goturi, Chi. Udayashankar","S. P. Balasubrahmanyam, K. S. Chithra, Shankar Mahadevan, Nanditha, Gurukiran, Rajesh Krishnan, Nandini Srikar and others",Yes,MPEG-4,317 kbps,AAC LC,9879 kbps,AVC,U:\MOVIE MASTER\Chandramukhi Ka Bhool Bhulaiya Mahal (2004)\Chandramukhi Ka Bhool Bhulaiya Mahal (2004).mp4,,10581.22,25.0
Char Dervesh (1964),,,Hindi,Movie,Yes,COL,1964.0,,02:30:39,1280*720,U,Ultra Cable,,,2026-04-01,2027-03-31,"Adventure,Fantasy",Homi Wadia,"Feroz Khan, Saeeda Khan, Mukri, Naaz, B M Vyas, Amarnath, W M Khan, Sunder",G S Kohli,G S Kohli,"Asha Bhosle, Usha Mangeshkar, Mohammed Rafi, Jaani Babu Qawwal",Yes,MPEG-4,126 kbps,AAC LC,1192 kbps,AVC,U:\MOVIE MASTER\Char Dervesh (1964)\Char Dervesh (1964).mp4,,1424.04,25.0
Char Paise (1955),,,Hindi,Movie,Yes,COL,1955.0,,01:58:31,720*576,U,Cable Master,,,2026-04-01,2027-03-31,"Thriller,Action",N K Ziree,"Kishor Kumar, Nimmi, Johnny Walker, Shyama",B D Burman,B D Burman,"Asha Bhosle, Lata Mangeshkar, Kishor Kumar",Yes,,,,,,,,,
Char paise (1955),,,,,,,,,02:02:00,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,20843 kbps,AVC,U:\MOVIE MASTER\Char Paise (1955)\Char paise (1955).mp4,,18469.19,25.0
Charandas (1977),,,Hindi,Movie,Yes,COL,1977.0,,02:07:52,1920*1080,,Eagle,,,2026-04-01,2027-03-31,Family Drama,B S Thapa,"Sunil Dutt, Dharmendra, Amitabh Bachchan, Om Prakash",Rajesh Roshan,Rajinder Krishan,"Asha Bhosle, Mohammed Rafi, Mukesh, Yesudas, Aziz Nazan, Kishore Kumar",Yes,MPEG-4,128 kbps,AAC LC,1397 kbps,AVC,U:\MOVIE MASTER\Charandas (1977)\Charandas (1977).mp4,,1400.74,25.0
Charanon Ki Saugandh (1988),,,Hindi,Movie,Yes,COL,1988.0,,02:42:56,1920*1080,U,Shemaroo,,,2026-04-01,2027-03-31,Action/Drama,K Bapaiah,"Mithun Chakraborty, Amrita Singh, Kader Khan, Raj Kiran, Prem Chopra, Shakti Kapoor, Nirupa Roy",Laxmikant Pyarelal,Anand Bakshi,"Kishore Kumar, Alka Yagnik, Mohammed Aziz",Yes,MPEG-4,96 kbps,AAC LC,477 kbps,AVC,U:\MOVIE MASTER\Charanon Ki Saugandh (1988)\Charanon Ki Saugandh (1988).mp4,,667.58,25.0
Charar -E- Sharief Dargah (Kashmir),,,HINDI,Documentary,Yes,COL,2017.0,,,,,Shemaroo,,,2026-04-01,2027-03-31,Documentary,,Documentary,,,,Yes,,,,,,,,,
Charitra (1973),,,,,,,,,01:48:21,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,372 kbps,AVC,U:\MOVIE MASTER\Charitra (1973)\Charitra (1973).mp4,,390.03,25.0
Charitraheen (1974),,,Hindi,Movie,Yes,COL,1974.0,,02:28:11,1920*1080,U,Shemaroo,,,2026-04-01,2027-03-31,Drama,Shakti Samanta,"Sanjeev Kumar, Sharmila Tagore, Yogita Bali",R D Burman,Anand Bakshi,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar",Yes,MPEG-TS,,AAC LC,,AVC,U:\MOVIE MASTER\Charitraheen (1974)\Charitraheen (1974).ts,,17372.25,
Chashme Buddoor  (1981),,,,,,,,,02:19:58,3840*2160,,,,,,,,,,,,,,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Chashme Buddoor (1981)\Chashme Buddoor  (1981).mp4,,15379.39,25.0
Chashme Buddoor (1981),,,Hindi,Movie,Yes,COL,1981.0,,02:15:01,1920*996,U,Ultra Cable,,,2026-04-01,2027-03-31,"Comedy,Romance",Sai Paranjpye,"Farooq Sheikh, Deepti Naval, Ravi Baswani, Rakesh Bedi, Saeed Jaffrey, Amitabh Bachchan, Rekha, Leela Mishra, Vinod Nagpal, Vinod Doshi, Ranjan Grewal",Raj Kamal,Raj Kamal,"Hariharan, Shailendra Singh, Vijay Yesudas",Yes,,,,,,,,,
Chaska - An Addiction (2005),,,Hindi,Movie,Yes,COL,2005.0,,01:35:43,1920*1080,A,Eagle,,,2026-04-01,2027-03-31,Mystery-thriller,Hridhay Sharma,,,,,Yes,MPEG-4,128 kbps,AAC LC,1380 kbps,AVC,U:\MOVIE MASTER\Chaska - An Addiction (2005) - Crime Story\Chaska - An Addiction (2005).mp4,,1036.77,25.0
Chaska - An Addiction (2005)  ,,,Hindi,Movie,Yes,COL,2005.0,,,,A,Shemaroo,Eagle,,2026-04-01,2027-03-31,Mystery-thriller,Hridhay Sharma,,,,,Yes,,,,,,,,,
Chatpati (1983),,,,,,,,,02:10:14,492*360,,,,,,,,,,,,,,MPEG-4,96 kbps,AAC LC,509 kbps,AVC,U:\MOVIE MASTER\Chatpati (1995)\Chatpati (1983).mp4,,565.56,25.0
Chatrapathi (1995),,Karuppu Nila ( Chhatrapati -Hindi Dubbed )is a 1995 Tamil,Hindi Dubed,Movie,Yes,COL,1995.0,,,,,Cable Master,,,2026-04-01,2027-03-31,Action,R. Aravindraj,"Vijayakanth, Ranjitha and Khushbu, with M. N. Nambiar, Kazan Khan, R. Sundarrajan, Major Sundarrajan, S. S. Chandran, Srividya and P. C. Ramakrishna",,,,Yes,,,,,,,,,
Chatri Ke Neeche Aaja (2005),,,Hindi,Movie,Yes,COL,2003.0,,01:51:34,640*328,A,Shemaroo,,,2026-04-01,2027-03-31,Comedy,Manoj Pandya,,,,,Yes,MPEG-4,128 kbps,AAC LC,806 kbps,AVC,U:\MOVIE MASTER\Chatri Ke Neeche Aaja (2005)\Chatri Ke Neeche Aaja (2005).mp4,,633.5,25.0
Chaudhvin Ka Chand (1960),,,Hindi,Movie,Yes,B&W,1960.0,,02:34:38,1920*1080,U,Ultra Cable,,,2026-04-01,2027-03-31,"Romance,Drama",M Sadiq,"Guru Dutt, Waheeda Rehman.",Ravi,Ravi,"Asha Bhosle, Geeta Dutt, Lata Mangeshkar, Mohammed Rafi, Shamshad Begum",Yes,MPEG-4,128 kbps,AAC LC,1556 kbps,AVC,U:\MOVIE MASTER\Chaudhvin Ka Chand (1960)\Chaudhvin Ka Chand (1960).mp4,,1943.29,25.0
Chaurahen (2007),,,Hindi,Movie,Yes,COL,2007.0,,01:27:43,1920*1152,,Eros,,,2026-04-01,2027-03-31,Drama,Rajshree Ojha,"Soha Ali Khan, Zeenat Aman, Caira Chaplin",Manikan Kadri,Manikan Kadri,,Yes,Matroska,,Opus,,V_VP9,U:\MOVIE MASTER\Chaurahen (2007)\Chaurahen (2007).mkv,,681.6,24.0
Cheater Ramachari (2018),,,Hindi Dubed,Movie,Yes,COL,2018.0,,01:39:54,1920*1080,,Eagle,,,2026-04-01,2027-03-31,"Action, Drama",Ramachari,"Ramachari, Meghana, Captain Vijay Chowdary",,"V. Manohar, Kaviraj, V. Nagendra Prasad, Goturi, Chi. Udayashankar",,Yes,MPEG-4,317 kbps,AAC LC,7537 kbps,AVC,U:\MOVIE MASTER\Cheater Ramachari (2018)\Cheater Ramachari (2018).mp4,,5614.66,25.0
Ched Chaad (2022),,,,,,,,,02:06:42,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2396 kbps,AVC,U:\MOVIE MASTER\Ched Chaad (2022)\Ched Chaad (2022).mp4,,2294.93,29.97
Chehere - A Modern Day Classic (2015),,,Hindi,Movie,Yes,COL,2015.0,,01:46:55,1920*800,,Ultra Cable,,,2026-04-01,2027-03-31,Period drama,,"Jackie Shroff, Manisha Koirala, Divya Dutta, Gulshan Grover , Aarya Babbar, Hrishita Bhatt",,,,Yes,MPEG-4,128 kbps,AAC LC,1185 kbps,AVC,U:\MOVIE MASTER\Chehere - A Modern Day Classic (2015)\Chehere - A Modern Day Classic (2015).mp4,,1003.81,25.0
Chehre (2021),,,,,,,,,02:12:46,1920*800,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1101 kbps,AVC,U:\MOVIE MASTER\Chehre (2021)\Chehre (2021).mp4,,1172.35,24.0
Chhaila  (1995),,{Raasaiyya},Hindi Dubed,Movie,Yes,COL,1996.0,,02:05:01,768*576,,Cable Master,,,2026-04-01,2027-03-31,Romance / Comedy / Drama,R. Kannan,"Prabhu Deva, Nagma",Ilaiyaraaja,,"Udit Narayan,Kumar Sanu,Alka Yagnik,Sonu Nigam",Yes,,,,,,,,,
Chhaila (1995),,Raasaiyya,,,,,,,02:05:01,768*576,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1500 kbps,AVC,U:\MOVIE MASTER\Chhaila {Raasaiyya} (1995)\Chhaila {Raasaiyya} (1995).mp4,,1461.35,25.0
Chhailla Babu (1977),,,Hindi,Movie,Yes,COL,1977.0,,02:18:56,1920*1080,U,Shemaroo,,,2026-04-01,2027-03-31,"Action,Crime,Romance",Joy Mukherjee,,Laxmikant Pyarelal,Anand Bakshi,"Asha Bhosle, Kishore Kumar, Lata Mangeshkar",Yes,MPEG-4,128 kbps,AAC LC,1075 kbps,av01,U:\MOVIE MASTER\Chhailla Babu (1977)\Chhailla Babu (1977).mp4,,1247.88,25.0
Chhalaang - The Leap (2018),,,Hindi,Movie,Yes,COL,2020.0,,0.0946643518518519,1920*800,,Eros,,,2026-04-01,2027-03-31,sports comedy-drama,Azad M Raj,"Yash Solanki, Dikshita Solanki, Raman Bala, Dolly Valecha, Azad M Raj,",,,,Yes,MPEG-4,127 kbps,AAC LC-SBR,3500 kbps,AVC,U:\MOVIE MASTER\Chhalaang - The Leap (2018)\Chhalaang - The Leap (2018).mp4,,2456.11,25.0
Chhalia (1960),,,Hindi,Movie,Yes,B&W,1960.0,,01:58:24,640*480,U,Shemaroo,,,2026-04-01,2027-03-31,Musical Romance,Manmohan Desai,"Raj Kapoor, Nutan, Pran, Rehman","Kalayanji, Anandji, Laxmikant, Pyarelal",Qamar,"Lata Mangeshkar, Mukesh",Yes,MPEG-4,126 kbps,AAC LC,980 kbps,AVC,U:\MOVIE MASTER\Chhalia (1960)\Chhalia (1960).mp4,,949.68,25.0
Chhaya (1961),,,Hindi,Movie,Yes,B&W,1961.0,,02:25:08,640*480,U,Ultra Cable,,,2026-04-01,2027-03-31,"Drama,Romance",Hrishikesh Mukherjee,"Sunil Dutt, Asha Parekh, Nirupa Roy, Lalita Pawar, Nazir Hussain, Asit Sen, Achla Sachdev,",Salil Chowdhury,Salil Chowdhury,"Lata Mangeshkar, Mohammed Rafi, Mukesh, Talat Mahmood",Yes,MPEG-PS,224 kbps,MPA1L2,8574 kbps,MPEG-2V,U:\MOVIE MASTER\Chhaya (1961)\Chhaya (1961).mpg,,9932.84,25.0
